Time,CPU
10,0
20,0
30,0
40,256
50,92
60,5
70,94
80,244
90,560
100,387
110,578
120,794
130,546
140,677
150,932
160,446
170,473
180,442
190,741
200,911
210,182
220,738
230,745
240,293
250,580
260,522
270,488
280,844
290,548
300,295
310,832
320,505
330,502
340,615
350,494
360,566
370,395
380,917
390,446
400,417
410,608
420,898
430,289
440,780
450,425
460,898
470,289
480,507
490,421
500,688
510,908
520,452
530,603
540,550
550,590
560,710
570,475
580,601
590,286
600,463
610,243
620,863
630,702
640,547
650,365
660,682
670,177
680,908
690,626
700,291
710,927
720,394
730,538
740,534
750,381
760,925
770,681
780,0
790,933
800,457
810,918
820,690
830,458
840,506
850,638
860,440
870,614
880,266
890,844
900,480
910,455
920,729
930,446
940,566
950,544
960,305
970,613
980,560
990,644
1000,564
1010,641
1020,434
1030,934
1040,148
1050,689
1060,902
1070,588
1080,357
1090,785
1100,439
1110,475
1120,948
1130,0
1140,884
1150,715
1160,187
1170,905
1180,858
1190,138
1200,621
1210,308
1220,532
1230,613
1240,429
1250,811
1260,176
1270,736
1280,672
1290,639
1300,458
1310,528
1320,612
1330,609
1340,282
1350,892
1360,569
1370,565
1380,604
1390,278
1400,912
1410,418
1420,876
1430,357
1440,573
1450,409
1460,916
1470,449
1480,468
1490,859
1500,487
1510,442
1520,702
1530,424
1540,435
1550,804
1560,400
1570,591
1580,561
1590,299
1600,896
1610,401
1620,443
1630,913
1640,252
1650,599
1660,896
1670,0
1680,761
1690,828
1700,0
1710,928
1720,581
1730,481
1740,923
1750,171
1760,713
1770,753
1780,928
1790,454
1800,548
1810,843
1820,0
1830,923
1840,861
1850,130
1860,741
1870,449
1880,427
1890,654
1900,266
1910,922
1920,103
1930,602
1940,937
1950,179
1960,886
1970,798
1980,364
1990,752
2000,467
2010,645
2020,774
2030,672
2040,641
2050,510
2060,477
2070,710
2080,694
2090,304
2100,725
2110,744
2120,146
2130,888
2140,711
2150,674
2160,288
2170,587
2180,744
2190,920
2200,472
2210,655
2220,297
2230,667
2240,641
2250,730
2260,746
2270,180
2280,757
2290,0
2300,916
2310,624
2320,708
2330,599
2340,261
2350,880
2360,659
2370,426
2380,903
2390,734
2400,136
2410,615
2420,760
2430,175
2440,829
2450,622
2460,426
2470,592
2480,438
2490,430
2500,843
2510,159
2520,642
2530,729
2540,259
2550,610
2560,397
2570,565
2580,711
2590,813
2600,161
2610,702
2620,304
2630,674
2640,384
2650,505
2660,704
2670,410
2680,628
2690,899
2700,439
2710,416
2720,666
2730,310
2740,650
2750,458
2760,672
2770,656
2780,708
2790,461
2800,591
2810,834
2820,596
2830,252
2840,653
2850,862
2860,575
2870,338
2880,555
2890,646
2900,328
2910,709
2920,717
2930,370
2940,700
2950,309
2960,675
2970,702
2980,318
2990,691
3000,563
3010,279
3020,709
3030,627
3040,378
3050,873
3060,703
3070,159
3080,698
3090,674
3100,610
3110,722
3120,345
3130,792
3140,0
3150,798
3160,851
